sku,name,category_name,brand,sale_price,store_name
5299354-EA-000,Plant Based Chocolate & Boysenberry Ice Cream,Frozen,Kapiti,2.47,pak'nsave
5298231-EA-000,Mad For Mango Mochi Sorbet Bites,Frozen,NOM,3.84,pak'nsave
5295460-EA-000,Cheeky Chocolate Mochi Bites,Frozen,NOM,3.84,pak'nsave
5288853-EA-000,Dairy Free Salted Caramel Fudge Frozen Dessert,Frozen,Tip Top Crave,0.79,pak'nsave
5283791-EA-000,Vegan Feijoa Sorbet,Frozen,Kohu Road,2.27,pak'nsave
5275932-EA-000,Trumpet Vegan Gluten Free Choc Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5263507-EA-000,Trumpet Vegan Gluten Free Boysenberry Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5247633-EA-000,Dairy Free Almond Ice Cream,Frozen,Magnum,2.96,pak'nsave
5112185-EA-000,Frozen Biofeel Plain Probiotic Yogurt Drink,Frozen,Biofeel,0.89,pak'nsave
5026361-EA-000,Mini Almond Ice Cream,Frozen,Magnum,1.8,pak'nsave
5009900-EA-000,Almond Ice Cream,Frozen,Magnum,1.52,pak'nsave
5026362-EA-000,Mini Classic Ice Cream,Frozen,Magnum,1.8,pak'nsave
5009899-EA-000,Classic Ice Cream,Frozen,Magnum,1.52,pak'nsave
5243099-EA-000,Yukimi Mango Mochi Frozen Dessert,Frozen,Lotte,3.12,pak'nsave
5036787-EA-000,Caramel Cookie Crumble Ice Cream,Frozen,Streets,2,pak'nsave
5022756-EA-000,Honeycomb Crunch Ice Cream,Frozen,Magnum,1.52,pak'nsave
5034048-EA-000,Peppermint Ice Cream,Frozen,Magnum,1.52,pak'nsave
5031838-EA-000,Party Pack Neapolitan Ice Cream,Frozen,Much Moore,0.24,pak'nsave
5015103-EA-000,Vanilla Slices Ice Cream,Frozen,Tip Top,0.87,pak'nsave
5342136-EA-000,Pineapple Flavour Sorbet,Frozen,Fruitae,5.32,pak'nsave
5342135-EA-000,Salted Butter Frozen Dessert,Frozen,Chill Burger,2.99,pak'nsave
5342134-EA-000,Frozen Dessert Salted Chocolate,Frozen,Chill Burger,2.99,pak'nsave
5340883-EA-000,Chicken Leg Shaped Ice Cream,Frozen,Fruitae,3.99,pak'nsave
5340719-EA-000,Dulce de Leche Ice Cream,Frozen,Magnum,1.62,pak'nsave
5339482-EA-000,Boysenberry Ice Cream Dessert,Frozen,Magnum,1.8,pak'nsave
5339389-EA-000,Banana Ice Cream,Frozen,Paddle Pop,1.73,pak'nsave
5338994-EA-000,Strawberry Flavour Ice Cream,Frozen,Fruitae,5.32,pak'nsave
5338991-EA-000,Mango Flavour Ice cream,Frozen,Fruitae,5.32,pak'nsave
5338823-EA-000,Dairy Milk Minis Vanilla Ice Cream,Frozen,Cadbury,3,pak'nsave
5338813-EA-000,Trumpet Choc Bar Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5338811-EA-000,Popsicle Water Melon Flavour Ice Block,Frozen,Tip Top,1.31,pak'nsave
5338725-EA-000,Vanilla Bean Ice Cream,Frozen,Kapiti,2.25,pak'nsave
5338724-EA-000,Vanilla Bean Mini Ice Cream,Frozen,Kapiti,2.5,pak'nsave
5338160-EA-000,Marvels Triple Chocolate Cookies Ice Cream Stick,Frozen,Much Moore,2.18,pak'nsave
5338159-EA-000,Marvels Caramel Almond Crunch Ice Cream Stick,Frozen,Much Moore,2.18,pak'nsave
5338042-EA-000,Chocolate Ice Cream,Frozen,Moosie's,0.88,pak'nsave
5338040-EA-000,Blue Moon Ice Cream,Frozen,Moosie's,0.88,pak'nsave
5335953-EA-000,Slushy Lemonade Coolish Frozen Dessert,Frozen,Lotte,1.43,pak'nsave
5335952-EA-000,Chocolate Coolish Frozen Dessert,Frozen,Lotte,1.43,pak'nsave
5335309-EA-000,Passionfruit & Kamahi Honey Ice Cream,Frozen,Kapiti,2.25,pak'nsave
5334798-EA-000,Dairy Milk Crunchie Ice Cream,Frozen,Cadbury,2.5,pak'nsave
5334533-EA-000,Affogato Ice Cream,Frozen,Kapiti,2.25,pak'nsave
5332772-EA-000,Cookie Crunch Frozen Dessert,Frozen,Magnum,1.8,pak'nsave
5330915-EA-000,Bueno Classic Frozen Dessert,Frozen,Kinder,4.43,pak'nsave
5328830-EA-000,Double Caramel Ego Ice Cream,Frozen,Magnum,3.33,pak'nsave
5328357-EA-000,Mini White Ice Cream,Frozen,Magnum,1.8,pak'nsave
5328354-EA-000,Euphoria Raspberry Lemon Ice Cream,Frozen,Magnum,3.14,pak'nsave
5325478-EA-000,Double Caramel Ego Frozen Dessert,Frozen,Magnum,5.76,pak'nsave
5325443-EA-000,Melona Ube Ice Cream,Frozen,Binggrae,1.61,pak'nsave
5324271-EA-000,Cookie Time Original Chocolate Chunk Ice Cream Cookie Sandwich,Frozen,Streets,7.39,pak'nsave
5323681-EA-000,Marlborough Salted Caramel & Macadamia Minis Ice Cream,Frozen,Kapiti,2.5,pak'nsave
5323680-EA-000,Marlborough Salted Caramel & Macadamia Ice Cream,Frozen,Kapiti,2.25,pak'nsave
5323453-EA-000,Classic Frozen Dessert,Frozen,Ferrero Rocher,5.5,pak'nsave
5319812-EA-000,Vanilla Fudge Brownie Ice Cream,Frozen,Kapiti,2.14,pak'nsave
5317588-EA-000,Trumpet Classic Vanilla Minis Ice Cream,Frozen,Tip Top,0.92,pak'nsave
5317263-EA-000,Jelly Tip Ice Cream,Frozen,Tip Top,1.06,pak'nsave
5317260-EA-000,Rocky Road Strawberry Ice Cream,Frozen,Tip Top,1.28,pak'nsave
5317257-EA-000,Choc Bar,Frozen,Tip Top,1.29,pak'nsave
5316970-EA-000,Trumpet Chocolate Minis Ice Cream,Frozen,Tip Top,0.92,pak'nsave
5314920-EA-000,Taro Chunks & Boba Ice Bar,Frozen,Shao Mei,3.28,pak'nsave
5314919-EA-000,Brown Sugar Boba Ice Cream Bar,Frozen,Shao Mei,3.28,pak'nsave
5313546-EA-000,Original Cookie Time Sandwich Ice Cream,Frozen,Streets,7.75,pak'nsave
5308482-EA-000,Choc Bar Minis Ice Cream,Frozen,Tip Top,1.15,pak'nsave
5308455-EA-000,Jelly Tip Minis Ice Cream,Frozen,Tip Top,0.9,pak'nsave
5299359-EA-000,Bubble O Bill Chocolate Caramel & Strawberry Ice Creams,Frozen,Streets,1.98,pak'nsave
5292907-EA-000,Passionfruit White Chocolate Ice Cream,Frozen,Magnum,1.8,pak'nsave
5287445-EA-000,Dairy Milk Ice Cream,Frozen,Cadbury,2.5,pak'nsave
5284771-EA-000,Polar Pie Vanilla Ice Cream,Frozen,Tip Top,0.84,pak'nsave
5273115-EA-000,Paddle Pop Chocolate Ice Cream,Frozen,Paddle Pop,1.73,pak'nsave
5273114-EA-000,Rainbow Ice Cream,Frozen,Paddle Pop,1.73,pak'nsave
5248228-EA-000,Cookie Sandwich,Frozen,Oreo,2.04,pak'nsave
5230147-EA-000,Mini Dulce De Leche Ice Cream,Frozen,Magnum,1.8,pak'nsave
5224063-EA-000,Mint Cookie Dunks Ice Cream Bars,Frozen,Much Moore,0.98,pak'nsave
5213549-EA-000,Yukimi Vanilla Mochi Frozen Dessert,Frozen,Lotte,3.12,pak'nsave
5201336-EA-000,Vanilla Choc Dunks Ice Cream Bars,Frozen,Much Moore,0.58,pak'nsave
5120576-EA-000,B.B.Big Red Bean Ice Bars,Frozen,Binggrae,1.34,pak'nsave
5115111-EA-000,Melona Strawberry Ice Bar,Frozen,Binggrae,1.4,pak'nsave
5113367-EA-000,Melona Mango Ice Bar,Frozen,Binggrae,1.4,pak'nsave
5107500-EA-000,Melona Melon Ice Bar,Frozen,Binggrae,1.4,pak'nsave
5106843-EA-000,Samanco Chocolate Ice Cream Sandwich,Frozen,Binggrae,0.37,pak'nsave
5097140-EA-000,Samanco Red Bean Ice Cream Sandwich,Frozen,Binggrae,0.37,pak'nsave
5033833-EA-000,Trumpet Choc & Salted Caramel Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5031542-EA-000,Trumpet Classic Mint Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5026116-EA-000,Paddle Pop Rainbow Ice Cream,Frozen,Streets,3.57,pak'nsave
5026050-EA-000,Trumpet Vanilla Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5025725-EA-000,Trumpet Classic Choc Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5025498-EA-000,Cookie Crumble Caramel Ice Cream,Frozen,Streets,3.43,pak'nsave
5023780-EA-000,Memphis Meltdown Gooey Caramel Ice Cream,Frozen,Tip Top,4.15,pak'nsave
5021911-EA-000,Trumpet Boysenberry Ice Cream,Frozen,Tip Top,3.55,pak'nsave
5019470-EA-000,Passionfruit & Kamahi Honey Yoghurt Ice Cream,Frozen,Kapiti,2.5,pak'nsave
5017403-EA-000,Trumpet Hokey Pokey Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5016234-EA-000,White Chocolate & Raspberry Ice Cream,Frozen,Kapiti,2.5,pak'nsave
5015572-EA-000,Vanilla Ice Cream Tub,Frozen,Tip Top,2.7,pak'nsave
5015414-EA-000,Bubble O Bill,Frozen,Streets,3.3,pak'nsave
5015320-EA-000,Nelson Boysenberry Ice Cream,Frozen,Kapiti,2.5,pak'nsave
5013640-EA-000,White Ice Cream,Frozen,Magnum,4.45,pak'nsave
5013093-EA-000,Joy Bar Ice Cream,Frozen,Tip Top,2.02,pak'nsave
5012841-EA-000,Trumpet Boysenberry Ice Cream,Frozen,Tip Top,1.02,pak'nsave
5011215-EA-000,Icy Licks Mixed Minis,Frozen,Much Moore,0.27,pak'nsave
5007732-EA-000,Mini Calcilicks Mixed,Frozen,Much Moore,0.3,pak'nsave
